,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Female,Misdemeanor,Two_yr_Recidivism
161,2,1,0,0,1,0,1,1
162,0,0,0,0,0,0,0,1
163,9,1,0,0,1,0,0,1
164,2,0,1,0,0,0,0,0
165,0,0,0,1,1,0,0,1
166,2,0,0,0,1,0,1,0
167,1,0,0,1,1,1,1,0
169,1,0,1,0,0,0,0,0
170,0,0,0,0,0,1,1,0
171,4,0,0,0,0,0,1,0
172,23,1,0,0,1,1,0,1
174,2,1,0,0,1,0,0,1
175,0,0,0,0,1,0,1,0
176,0,1,0,0,1,1,0,0
177,7,1,0,0,0,1,0,1
178,2,0,0,0,1,0,0,0
179,1,1,0,0,1,1,0,0
180,7,0,1,0,0,0,0,1
181,15,1,0,0,1,0,0,0
182,2,1,0,0,1,0,1,0
183,0,0,1,0,0,1,1,1
184,0,0,1,0,0,0,1,0
186,0,0,1,0,1,0,0,0
187,4,0,0,0,0,0,0,1
188,2,1,0,0,1,1,0,0
189,5,1,0,0,1,1,1,0
190,11,1,0,0,1,0,0,1
191,0,0,0,0,1,0,1,0
193,11,1,1,0,1,0,0,0
194,2,1,0,1,1,0,0,0
195,0,0,0,0,1,0,1,0
196,0,0,1,0,0,0,0,0
197,13,0,0,0,0,0,0,1
198,0,0,1,0,1,0,0,0
199,1,0,0,0,0,0,0,0
200,11,1,0,0,1,0,1,1
201,1,1,0,0,0,0,0,0
202,0,0,0,1,1,0,0,0
203,4,0,0,0,1,0,0,0
205,0,1,0,0,0,0,0,1
206,0,0,0,0,0,0,0,1
207,14,1,0,0,1,0,0,0
208,1,0,1,0,0,0,1,0
209,25,1,0,0,1,0,0,1
210,8,1,0,0,0,0,1,1
211,0,0,0,0,1,0,0,0
212,1,1,0,1,0,0,1,1
217,5,1,0,1,0,1,0,1
219,1,0,0,0,1,0,1,0
220,1,1,0,1,1,0,0,1
221,2,1,0,0,1,0,0,1
223,4,0,0,0,1,0,0,0
224,2,0,0,0,1,1,0,0
225,0,1,0,1,1,0,0,0
227,0,0,1,0,1,1,0,0
228,0,0,0,1,1,1,0,1
229,0,0,1,0,1,1,0,0
230,0,1,0,0,0,0,0,0
231,0,1,0,0,0,0,0,1
232,11,1,0,0,1,0,0,1
233,3,1,0,1,1,0,1,1
234,1,0,0,1,0,1,0,0
235,2,0,0,0,1,1,1,0
237,3,1,1,0,1,0,0,1
238,0,0,0,0,1,0,0,0
239,3,0,0,0,0,0,0,0
240,1,0,1,0,0,0,1,0
241,3,0,1,0,0,0,0,0
242,0,1,0,1,1,0,1,1
243,1,1,0,0,1,0,1,1
245,5,0,0,0,0,0,1,0
246,5,0,0,0,1,0,1,0
247,0,1,0,1,0,0,0,1
248,5,0,0,0,1,0,0,1
249,6,0,0,0,1,0,0,1
251,2,0,1,0,0,0,0,0
252,0,1,0,1,1,1,1,0
253,4,1,0,1,1,0,1,1
254,0,0,1,0,0,0,0,0
255,5,0,0,0,0,0,0,0
257,5,0,0,0,1,1,0,0
259,0,0,0,0,1,0,1,0
260,0,0,0,0,0,0,1,1
261,3,0,0,0,0,0,1,1
262,0,0,0,0,0,1,0,0
264,0,0,0,0,1,0,0,0
265,0,1,0,1,1,0,0,1
266,0,0,1,0,0,1,1,0
267,0,0,1,0,0,0,1,0
268,7,1,0,0,1,0,0,0
269,0,1,0,1,1,0,0,1
270,8,1,0,0,0,0,0,0
271,2,1,0,1,1,0,0,1
272,36,1,1,0,0,0,0,1
273,2,0,0,0,0,0,1,1
275,0,1,0,0,1,1,0,0
276,2,0,0,0,0,1,1,1
278,1,1,0,0,0,0,0,0
279,0,1,0,1,1,1,0,1
280,0,0,0,0,0,0,1,0
281,0,0,0,1,1,0,0,0
283,0,0,0,0,1,0,0,0
284,0,1,0,0,0,1,1,0
286,12,1,0,0,1,0,0,1
287,1,1,0,1,1,0,0,0
288,3,0,1,0,1,0,0,0
289,0,0,0,0,0,0,0,0
290,2,1,0,1,1,0,0,1
293,0,1,0,1,0,1,0,0
294,0,0,1,0,0,0,1,0
295,2,1,0,1,0,0,0,0
296,6,1,0,0,1,0,1,1
297,0,0,0,1,0,0,0,0
298,0,1,0,1,1,1,0,1
299,3,1,1,0,1,0,0,0
300,2,0,0,0,1,0,1,0
301,0,0,1,0,0,1,1,0
302,3,1,0,1,1,0,0,1
305,0,0,0,0,0,0,0,0
306,1,0,0,1,1,0,0,0
307,2,1,0,1,0,0,1,1
308,4,1,0,1,1,0,0,1
309,0,1,0,1,1,0,0,1
310,1,0,0,0,0,0,1,0
311,1,0,1,0,0,1,1,1
312,0,1,0,0,0,0,0,1
313,7,1,0,0,1,0,0,1
314,1,0,1,0,0,1,1,0
315,0,0,0,1,1,1,0,0
316,1,0,0,0,1,0,0,0
317,1,0,0,0,1,0,1,0
318,6,1,0,0,1,0,0,1
319,4,1,0,1,1,0,0,1
320,3,1,0,1,0,0,1,0
321,23,1,0,0,1,0,0,1
322,2,1,0,0,1,0,0,0
323,2,0,1,0,1,0,0,0
324,7,0,0,0,1,0,0,0
325,23,1,1,0,0,0,0,1
326,0,0,1,0,0,1,1,0
327,12,1,0,0,1,0,0,1
328,5,1,0,0,1,0,0,0
329,3,0,0,0,0,0,1,0
331,14,1,0,0,1,0,0,1
332,2,1,0,0,1,0,0,0
333,0,1,0,1,1,0,1,1
334,0,0,0,0,0,0,0,0
335,5,0,1,0,1,0,0,0
336,9,1,0,0,1,0,0,1
337,4,0,1,0,0,0,0,1
338,3,0,0,0,1,0,0,0
341,0,1,0,0,0,1,1,0
342,0,0,1,0,0,0,1,0
343,0,1,0,1,1,1,0,0
344,11,1,1,0,1,0,0,0
345,0,0,0,0,0,0,1,1
347,0,0,0,1,0,0,0,0
348,2,0,1,0,0,1,1,0
349,7,0,0,0,1,0,1,1
350,1,1,0,1,0,0,0,1
351,8,1,0,0,1,0,0,1
353,0,1,0,1,1,0,0,1
354,0,1,0,0,0,0,1,1
355,21,1,1,0,1,0,1,1
356,3,1,0,1,1,0,0,0
358,0,0,0,0,0,0,0,0
359,1,1,1,0,1,0,0,1
360,3,0,0,0,0,0,1,0
361,3,0,0,0,1,0,0,0
362,3,1,0,1,0,0,0,1
363,0,0,0,0,0,0,0,0
364,2,1,0,0,1,0,0,0
365,3,1,0,1,1,1,0,1
366,1,1,0,1,0,0,0,1
367,2,0,0,0,0,0,1,0
368,0,1,0,1,0,1,0,0
369,0,0,0,0,0,0,1,0
371,1,1,0,1,1,0,0,1
372,1,0,0,1,1,0,1,1
373,4,0,1,0,0,0,0,0
374,3,0,1,0,1,1,0,0
375,1,0,0,0,1,0,1,0
376,5,0,0,0,1,0,0,0
377,0,0,0,1,0,0,1,0
378,2,1,1,0,1,1,0,1
379,0,0,0,0,0,0,1,1
381,13,1,0,0,1,0,1,1
382,1,1,0,0,1,0,1,1
383,3,1,0,0,1,0,0,1
384,6,1,1,0,0,0,0,1
385,1,0,0,0,0,0,0,1
386,5,0,1,0,1,0,0,1
387,10,1,0,0,1,0,0,1
388,5,1,0,0,1,0,0,0
389,2,0,1,0,0,0,0,0
390,0,0,0,0,1,0,0,0
391,6,1,0,1,1,0,0,0
392,28,1,1,0,1,0,0,1
393,8,1,0,0,1,0,0,1
394,6,1,0,1,1,1,0,1
395,2,0,1,0,1,0,1,0
396,12,1,1,0,1,0,1,1
397,1,1,0,1,0,0,1,1
398,1,0,0,0,1,0,1,0
399,1,1,0,1,1,0,0,1
400,0,0,1,0,0,0,0,0
402,3,0,0,0,0,0,0,0
403,3,0,1,0,0,0,0,0
404,4,1,0,0,0,0,0,1
405,0,0,1,0,0,0,0,0
407,1,0,1,0,0,0,0,1
411,6,1,0,1,0,1,0,1
412,2,1,0,1,0,0,1,1
414,1,0,0,0,1,0,0,0
415,0,0,0,0,0,1,1,0
416,0,0,0,0,0,0,1,1
417,0,0,1,0,1,0,1,0
418,4,0,0,0,1,0,0,1
419,0,0,1,0,0,1,1,0
420,0,1,0,0,1,0,0,0
421,1,0,0,0,0,0,1,1
424,33,1,1,0,1,0,0,1
425,2,1,0,0,0,0,0,0
426,1,0,1,0,0,0,1,0
427,1,0,0,0,0,0,0,0
428,4,0,1,0,0,0,1,0
430,0,0,0,0,1,1,1,0
431,0,0,1,0,0,1,1,0
434,2,0,0,0,1,0,1,0
435,6,0,0,0,1,1,0,0
437,10,1,1,0,1,0,0,1
438,5,1,0,0,1,0,0,1
439,0,0,0,1,0,0,0,0
440,1,1,1,0,0,0,0,1
441,4,1,1,0,1,0,1,0
442,0,0,0,1,1,0,0,1
443,4,0,0,0,0,0,0,1
444,0,0,0,1,0,0,0,0
445,0,1,0,1,0,0,1,0
446,6,0,0,0,0,0,0,0
447,1,0,0,0,1,0,1,1
448,0,0,0,0,1,0,0,0
449,6,0,0,0,1,0,0,1
450,1,0,0,0,0,0,0,1
451,0,0,0,1,0,0,0,1
453,0,0,0,0,0,0,0,0
455,0,1,0,0,1,0,0,0
456,14,1,0,0,1,0,0,1
457,9,1,0,1,0,0,1,1
459,1,0,1,0,0,0,1,0
460,5,1,0,0,1,0,0,1
462,2,1,1,0,0,0,0,1
463,1,0,0,0,1,0,1,0
464,2,0,0,1,0,0,0,0
465,8,1,0,0,1,0,0,0
466,6,1,1,0,1,0,0,0
467,3,1,0,0,1,0,0,0
469,3,0,0,0,1,0,0,1
470,3,1,0,1,1,0,0,1
471,1,0,1,0,0,0,1,0
472,3,1,0,1,1,0,0,1
473,3,0,1,0,1,0,1,0
474,0,0,0,0,1,0,0,0
475,1,1,0,0,0,0,0,0
476,16,1,0,0,1,0,0,1
477,0,0,0,0,1,1,1,0
478,1,1,0,1,1,0,0,0
479,2,0,0,0,0,0,0,1
480,5,0,0,0,0,0,0,0
482,5,0,0,0,1,0,1,1
483,11,0,0,0,0,0,1,0
484,6,0,0,0,1,1,0,1
485,0,0,0,0,0,0,1,0
486,15,1,0,0,1,0,0,0
488,0,0,0,0,1,1,1,0
490,2,0,1,0,0,1,1,1
491,5,0,1,0,0,0,0,1
492,0,0,1,0,0,0,1,1
493,0,0,1,0,0,1,1,0
494,5,1,0,0,1,0,0,1
495,0,0,0,1,0,1,1,0
496,1,0,0,1,0,0,1,0
500,0,0,0,0,1,0,1,0
501,0,1,0,1,0,1,0,0
502,0,0,0,0,1,0,1,0
505,0,1,0,1,0,1,0,0
506,1,0,0,1,1,0,0,0
507,3,1,0,0,1,0,1,1
508,3,1,0,0,1,0,1,1
509,0,0,0,0,1,0,0,0
510,11,1,0,1,1,0,0,1
511,1,0,0,0,1,1,0,0
513,1,1,0,0,1,0,1,0
514,6,1,0,0,0,0,0,1
515,0,0,1,0,0,1,1,0
516,2,0,0,0,0,0,1,0
517,5,1,0,0,1,0,1,1
518,0,0,0,0,0,0,0,0
519,0,1,0,1,1,0,0,1
520,4,1,0,0,1,0,0,1
521,0,0,1,0,0,0,1,0
522,2,0,0,0,0,0,1,1
523,10,0,0,0,1,0,0,0
524,9,0,1,0,1,0,1,1
525,3,1,0,1,0,1,0,0
526,0,1,0,1,1,1,1,0
527,2,1,0,1,0,1,0,1
528,1,0,0,0,1,0,1,0
529,0,0,0,0,1,0,1,0
530,15,1,1,0,1,0,0,1
532,4,1,0,1,1,0,0,1
533,3,1,0,0,0,0,0,1
534,5,1,0,0,0,0,1,0
535,1,1,0,0,0,0,0,0
536,3,1,0,1,0,0,0,1
537,0,0,0,0,1,0,0,0
538,18,1,0,0,1,0,0,1
539,0,0,0,0,0,1,0,1
541,4,0,1,0,1,1,0,1
542,0,0,1,0,0,1,1,1
543,0,0,0,1,1,0,0,0
544,0,1,0,1,1,1,0,0
545,0,0,0,0,1,0,0,0
546,8,1,0,0,1,0,0,1
547,10,1,0,0,1,1,0,0
548,1,1,1,0,0,1,0,0
549,2,0,0,0,0,0,0,1
550,0,1,0,0,1,0,0,1
551,1,0,0,1,1,0,0,1
552,13,1,0,0,1,0,0,1
553,1,0,0,0,0,0,0,1
554,23,1,0,0,1,0,0,1
555,20,1,1,0,1,0,0,0
556,3,1,0,1,1,0,0,0
557,1,1,0,0,1,0,1,1
559,2,0,1,0,1,0,1,1
560,0,0,0,0,1,0,1,0
561,0,0,0,0,1,1,0,0
562,1,0,1,0,0,0,1,0
564,0,1,0,1,1,0,0,0
565,11,0,0,0,1,0,0,0
568,0,0,0,0,1,1,1,0
569,2,0,1,0,0,1,0,0
570,0,0,0,0,1,0,1,0
571,0,1,0,0,1,0,1,1
572,17,1,1,0,1,0,0,1
573,3,1,0,1,1,0,0,0
574,0,0,0,0,0,1,1,0
575,15,1,0,0,0,1,0,1
577,2,1,0,1,1,0,1,1
578,3,0,0,0,1,0,0,0
580,3,0,1,0,0,0,0,1
581,5,1,0,0,1,0,0,0
582,4,1,0,0,1,0,1,0
583,14,1,0,0,1,0,0,1
584,2,0,1,0,0,0,0,0
585,3,0,0,0,1,0,1,1
586,2,1,1,0,0,0,0,1
587,20,1,1,0,1,0,0,1
588,2,0,0,0,1,0,1,0
589,1,1,0,1,1,0,1,0
590,1,0,0,0,1,0,0,0
591,0,0,1,0,1,0,0,0
592,6,0,0,0,1,0,0,0
593,10,1,0,0,1,0,1,1
594,10,1,0,0,1,0,0,1
595,1,0,0,0,0,0,0,0
596,9,0,1,0,0,1,0,1
597,1,0,1,0,0,0,0,0
598,0,0,0,0,1,0,0,0
600,2,1,1,0,0,1,0,0
601,0,1,0,1,1,0,0,1
602,18,1,1,0,1,0,0,1
603,0,0,1,0,1,0,1,0
604,1,1,0,1,1,0,0,0
605,1,0,0,0,0,0,0,1
606,0,0,1,0,0,0,0,0
607,0,0,0,0,0,0,1,1
609,0,0,0,1,0,0,1,0
610,0,0,0,0,0,0,0,1
611,0,0,1,0,0,0,1,0
612,1,0,0,1,0,0,0,0
614,0,1,0,1,1,0,0,0
615,1,0,0,0,0,0,0,0
616,1,0,0,1,0,0,0,1
617,0,0,1,0,1,0,0,1
618,4,1,0,0,1,1,0,1
619,2,1,1,0,1,0,0,0
620,6,1,0,1,1,0,0,1
621,0,1,0,1,1,0,0,0
622,0,0,0,0,1,0,0,0
623,0,0,0,1,1,0,0,0
624,11,1,1,0,1,0,0,0
625,10,1,0,0,1,0,0,1
626,0,0,0,1,1,0,0,0
627,0,1,0,1,0,1,1,0
629,22,1,0,0,0,0,0,1
630,0,1,0,1,1,0,0,1
631,0,0,1,0,0,1,0,0
632,7,1,0,0,1,0,1,1
633,1,1,0,0,1,1,1,0
634,8,0,1,0,1,0,0,0
635,10,1,0,0,1,0,1,0
636,0,1,0,0,1,1,0,0
637,0,1,0,1,1,0,0,1
638,3,1,0,0,1,1,0,0
639,2,1,0,1,1,0,0,1
640,4,1,0,0,1,0,0,1
641,19,1,1,0,1,1,0,1
644,1,1,0,1,0,1,0,1
645,0,0,0,1,1,1,0,0
647,0,0,1,0,1,1,0,0
648,0,1,0,1,1,1,0,0
649,5,1,0,0,1,0,0,1
650,6,1,0,0,1,0,0,0
652,4,1,0,0,1,0,0,1
653,1,0,0,0,1,0,1,0
656,0,0,0,0,1,0,1,0
657,8,1,0,0,1,0,0,1
658,0,0,0,0,0,0,1,0
659,0,0,1,0,0,0,1,0
660,4,0,0,0,1,0,0,0
661,4,1,0,0,1,1,0,0
662,1,0,0,1,0,0,1,1
663,2,1,0,1,0,0,0,1
664,0,0,0,1,0,0,0,1
665,11,1,1,0,1,0,0,0
666,0,1,1,0,0,0,0,0
668,3,1,0,0,1,1,0,0
669,0,0,0,0,0,0,1,0
670,1,1,0,1,1,0,0,1
671,2,0,0,0,0,0,1,0
672,0,1,0,1,1,0,0,1
673,22,1,0,0,1,0,0,1
675,0,0,1,0,1,0,1,0
677,0,0,0,1,0,0,0,0
678,1,1,0,1,1,1,1,1
679,1,0,0,0,1,1,1,0
681,2,1,0,0,0,0,0,0
682,3,0,0,0,1,0,0,1
683,0,0,0,0,1,1,1,0
684,0,0,0,0,1,0,0,0
686,17,1,0,0,1,0,0,1
687,1,0,0,1,1,0,0,1
688,7,1,0,0,1,0,0,0
689,0,0,0,1,1,0,0,0
690,8,0,0,0,0,0,0,0
691,14,1,0,0,1,0,0,1
692,0,1,0,0,1,0,1,0
693,1,0,0,0,0,1,1,1
694,5,1,0,0,1,0,1,1
695,16,1,0,0,1,0,0,0
696,1,0,0,0,0,0,1,1
698,0,0,0,0,0,0,1,0
699,2,0,1,0,0,0,0,0
700,3,1,0,0,1,0,1,1
701,1,0,0,1,1,1,0,0
702,2,0,0,0,0,0,1,0
703,13,1,0,0,1,0,0,1
706,20,1,0,0,1,0,0,0
707,3,1,0,0,1,0,0,1
708,25,1,1,0,1,0,0,1
709,1,1,0,1,1,0,1,1
710,9,1,1,0,1,0,1,1
711,5,0,0,0,0,0,0,1
712,4,1,1,0,1,0,1,1
713,4,0,0,0,1,0,1,0
714,4,0,1,0,0,0,1,0
715,1,0,0,0,1,0,0,1
716,2,0,0,0,1,0,1,0
717,6,1,0,0,1,0,0,1
719,0,0,1,0,0,0,0,0
720,1,1,0,1,1,0,1,1
721,4,1,0,0,0,0,1,1
722,1,0,0,0,0,1,1,1
723,1,1,0,1,1,0,0,0
724,1,1,0,1,1,0,0,1
725,3,0,0,1,0,0,0,1
726,4,1,0,0,1,0,1,1
727,1,0,1,0,0,0,0,0
728,5,1,0,1,1,0,0,1
729,0,0,0,0,0,0,0,0
730,0,0,1,0,0,0,0,0
731,7,1,0,1,1,0,1,0
732,0,1,0,1,0,1,1,0
733,1,0,0,1,1,0,0,1
734,9,1,0,0,1,0,1,0
735,5,0,0,0,1,0,0,1
736,1,1,0,1,0,1,0,0
737,0,1,0,0,1,0,0,1
738,25,1,0,0,1,0,1,1
739,0,0,0,1,1,0,0,0
740,13,1,0,0,1,0,0,1
742,4,0,0,0,1,1,0,0
743,0,0,0,0,0,0,0,0
744,0,0,1,0,1,1,0,0
745,3,1,0,1,1,0,0,0
746,1,0,0,0,1,1,1,0
747,1,1,0,1,0,0,0,1
748,3,0,0,0,0,0,0,0
749,6,1,0,1,1,0,0,1
751,1,0,0,0,1,0,0,0
752,1,0,1,0,0,0,0,0
753,1,1,0,0,1,0,0,0
755,3,0,1,0,1,0,0,0
756,1,0,0,1,0,0,1,1
757,4,1,0,0,1,0,0,0
758,1,0,0,0,0,1,0,1
759,1,1,0,0,1,1,0,0
761,9,1,0,0,1,0,0,1
762,0,1,0,0,0,0,0,1
763,1,0,1,0,0,0,0,1
766,3,1,0,0,1,0,1,1
767,3,0,0,0,1,0,0,1
768,5,0,0,0,1,0,1,1
770,0,0,0,0,0,1,1,0
771,0,0,0,0,1,0,0,1
772,3,0,0,0,0,1,1,0
773,0,0,1,0,0,1,1,0
774,0,0,0,1,0,0,0,0
777,6,1,0,0,1,0,1,1
778,1,1,0,1,1,0,0,1
779,2,0,1,0,1,0,0,1
780,0,0,0,0,1,0,1,0
781,1,1,1,0,0,0,0,0
782,4,0,0,0,1,0,1,1
783,1,0,1,0,0,1,0,1
784,3,0,1,0,1,0,0,1
785,2,1,0,1,1,0,0,1
786,19,1,0,0,1,0,0,1
787,3,1,1,0,1,0,1,0
788,2,0,0,0,0,0,0,0
789,0,0,1,0,1,0,1,0
790,10,1,0,0,1,0,1,1
791,1,0,0,0,1,0,0,0
795,1,0,0,0,0,1,1,0
797,14,1,0,0,1,0,0,1
798,2,1,0,1,1,0,0,0
799,5,1,0,0,1,0,0,1
801,1,1,0,0,0,0,0,0
802,1,1,0,1,1,0,0,0
803,2,0,0,0,1,0,1,1
804,6,1,0,1,1,0,0,1
805,0,1,0,0,0,1,0,0
806,0,0,0,1,0,0,0,0
807,1,1,0,0,1,0,1,1
808,0,1,1,0,1,0,0,1
809,7,1,0,0,1,0,0,1
810,2,0,0,0,0,0,0,0
811,5,0,0,0,0,0,0,0
812,0,0,0,1,0,0,1,0
813,0,1,0,1,0,1,1,1
814,0,0,1,0,1,0,0,0
815,10,1,0,0,1,0,0,1
816,0,0,0,1,0,0,1,0
818,2,1,0,1,1,0,0,1
820,5,1,0,0,1,0,1,1
821,10,1,0,0,1,0,0,1
822,4,1,1,0,1,0,1,1
823,2,1,0,1,0,0,1,1
824,0,0,0,0,1,0,1,1
825,0,0,0,1,1,1,0,0
826,6,0,1,0,1,0,1,1
827,0,0,0,0,1,0,0,0
828,6,1,0,1,1,1,1,0
829,1,0,0,0,1,0,1,0
830,8,1,0,0,0,0,0,1
831,1,1,0,1,1,0,1,1
833,4,0,0,0,1,0,1,1
834,3,0,0,0,1,1,0,0
835,2,1,0,1,1,0,0,1
836,8,0,0,0,0,0,0,0
837,6,1,0,0,1,0,0,1
838,0,0,0,0,0,0,1,0
839,0,1,0,1,1,0,0,1
840,0,0,0,1,1,1,1,0
842,0,0,0,0,1,0,1,0
843,6,1,0,0,1,0,0,1
844,17,0,1,0,1,0,1,0
846,2,1,0,1,0,0,0,0
847,2,1,0,1,1,0,1,0
848,5,0,0,0,1,0,0,0
852,1,1,0,0,1,0,0,0
853,2,1,0,0,1,0,0,0
855,6,0,0,0,0,0,0,0
856,2,1,0,0,1,0,0,0
857,0,1,0,0,1,0,0,0
858,17,1,0,0,1,0,1,1
859,11,1,0,0,1,0,1,1
860,1,1,0,0,1,0,0,0
861,6,1,0,0,1,0,0,1
862,1,0,1,0,0,0,0,0
865,0,0,1,0,1,1,0,0
866,3,0,0,1,0,0,1,0
869,5,0,1,0,1,1,0,0
870,16,1,0,0,1,0,0,1
872,5,1,0,0,1,1,1,1
873,0,0,1,0,0,0,0,0
874,1,0,0,0,1,0,0,0
875,3,0,0,0,1,0,1,1
876,13,1,0,0,1,0,1,1
877,2,0,1,0,1,0,1,0
878,1,0,0,0,0,0,0,0
879,5,0,1,0,0,0,1,0
881,2,0,1,0,0,0,0,0
882,1,1,0,0,1,0,1,1
883,0,0,0,0,1,0,1,1
884,0,0,1,0,0,1,1,0
885,0,1,0,1,1,1,1,0
886,17,1,1,0,1,0,0,1
887,1,0,0,0,1,0,0,1
888,0,0,0,0,1,0,0,0
889,0,0,0,0,0,1,1,0
890,2,0,0,0,0,0,1,1
891,2,0,0,0,1,0,1,0
892,4,1,0,0,1,0,1,1
894,0,1,0,0,1,1,0,0
895,4,1,0,0,1,1,0,1
896,30,1,1,0,0,1,1,1
897,4,0,1,0,1,0,0,0
898,2,0,0,0,1,0,0,0
899,0,0,0,0,0,1,0,0
901,0,0,1,0,0,0,0,0
902,2,0,1,0,1,0,0,0
903,19,1,1,0,1,0,0,0
904,5,1,0,1,1,0,0,1
905,0,1,0,1,1,0,0,1
906,0,0,0,0,1,0,0,1
907,2,1,0,0,1,0,0,0
908,4,1,1,0,0,1,0,0
909,1,0,1,0,0,0,0,1
910,8,1,0,0,1,0,0,1
911,3,0,0,0,0,0,0,0
912,1,0,0,0,1,0,0,0
913,10,0,1,0,1,0,0,1
915,2,0,1,0,0,0,1,0
916,1,1,0,0,0,0,1,0
917,0,0,0,0,0,0,0,0
